2020-06-20 12:17:29,438 | google_search.py | INFO  | GoogleSearch start
2020-06-20 12:17:29,439 | google_search.py | INFO  | chrome start
2020-06-20 12:18:49,734 | google_search.py | INFO  | GoogleSearch start
2020-06-20 12:18:49,734 | google_search.py | INFO  | chrome start
2020-06-20 12:23:16,405 | google_search.py | INFO  | GoogleSearch start
2020-06-20 12:23:16,405 | google_search.py | INFO  | chrome start
2020-06-20 12:28:34,919 | google_search.py | INFO  | GoogleSearch start
2020-06-20 12:28:34,919 | google_search.py | INFO  | chrome start
2020-06-20 12:29:30,975 | google_search.py | INFO  | GoogleSearch start
2020-06-20 12:29:30,975 | google_search.py | INFO  | chrome start
2020-06-20 12:29:36,388 | google_search.py | INFO  | chrome initialized successfully
