2020-06-04 09:55:29,379 | koubei_autohome.py | INFO  | 程序开始时间：2020-06-04 09:55:29.378698
2020-06-04 09:55:30,541 | koubei_autohome.py | INFO  | 车系：{'I': 3895, 'N': 'AC Schnitzer M3'} 口碑数据获取中...
2020-06-04 09:55:31,094 | koubei_autohome.py | INFO  | 车系：{'I': 3895, 'N': 'AC Schnitzer M3'} 口碑数据获取完成!
2020-06-04 09:55:31,095 | koubei_autohome.py | INFO  | 车系：{'I': 3895, 'N': 'AC Schnitzer M3'} 获取记录保存成功!
2020-06-04 09:55:31,097 | koubei_autohome.py | INFO  | 车系：{'I': 2097, 'N': 'AC Schnitzer X5(停售)'} 口碑数据获取中...
2020-06-04 09:55:31,433 | koubei_autohome.py | INFO  | 车系：{'I': 2097, 'N': 'AC Schnitzer X5(停售)'} 口碑数据获取完成!
2020-06-04 09:55:31,435 | koubei_autohome.py | INFO  | 车系：{'I': 2097, 'N': 'AC Schnitzer X5(停售)'} 获取记录保存成功!
2020-06-04 09:55:31,436 | koubei_autohome.py | INFO  | 车系：{'I': 4212, 'N': 'ALPINA B4'} 口碑数据获取中...
2020-06-04 09:55:31,543 | koubei_autohome.py | INFO  | 车系：{'I': 4212, 'N': 'ALPINA B4'} 口碑数据获取完成!
2020-06-04 09:55:31,544 | koubei_autohome.py | INFO  | 车系：{'I': 4212, 'N': 'ALPINA B4'} 获取记录保存成功!
2020-06-04 09:55:31,545 | koubei_autohome.py | INFO  | 车系：{'I': 5329, 'N': '傲旋V-Class'} 口碑数据获取中...
2020-06-04 09:55:31,692 | koubei_autohome.py | INFO  | 车系：{'I': 5329, 'N': '傲旋V-Class'} 口碑数据获取完成!
2020-06-04 09:55:31,693 | koubei_autohome.py | INFO  | 车系：{'I': 5329, 'N': '傲旋V-Class'} 获取记录保存成功!
2020-06-04 09:55:31,695 | koubei_autohome.py | INFO  | 车系：{'I': 3825, 'N': 'Giulia'} 口碑数据获取中...
2020-06-04 09:55:32,042 | koubei_autohome.py | INFO  | 车系：{'I': 3825, 'N': 'Giulia'} 口碑数据获取完成!
2020-06-04 09:55:32,044 | koubei_autohome.py | INFO  | 车系：{'I': 3825, 'N': 'Giulia'} 获取记录保存成功!
2020-06-04 09:55:32,045 | koubei_autohome.py | INFO  | 车系：{'I': 4196, 'N': 'Stelvio'} 口碑数据获取中...
2020-06-04 09:55:32,261 | koubei_autohome.py | INFO  | 车系：{'I': 4196, 'N': 'Stelvio'} 口碑数据获取完成!
2020-06-04 09:55:32,263 | koubei_autohome.py | INFO  | 车系：{'I': 4196, 'N': 'Stelvio'} 获取记录保存成功!
2020-06-04 09:55:32,264 | koubei_autohome.py | INFO  | 车系：{'I': 179, 'N': 'ALFA 156(停售)'} 口碑数据获取中...
2020-06-04 09:55:32,389 | koubei_autohome.py | INFO  | 车系：{'I': 179, 'N': 'ALFA 156(停售)'} 口碑数据获取完成!
2020-06-04 09:55:32,391 | koubei_autohome.py | INFO  | 车系：{'I': 179, 'N': 'ALFA 156(停售)'} 获取记录保存成功!
2020-06-04 09:55:32,392 | koubei_autohome.py | INFO  | 车系：{'I': 401, 'N': 'ALFA GT(停售)'} 口碑数据获取中...
2020-06-04 09:55:32,543 | koubei_autohome.py | INFO  | 车系：{'I': 401, 'N': 'ALFA GT(停售)'} 口碑数据获取完成!
2020-06-04 09:55:32,544 | koubei_autohome.py | INFO  | 车系：{'I': 401, 'N': 'ALFA GT(停售)'} 获取记录保存成功!
2020-06-04 09:55:32,545 | koubei_autohome.py | INFO  | 车系：{'I': 923, 'N': 'Rapide'} 口碑数据获取中...
2020-06-04 09:55:32,667 | koubei_autohome.py | INFO  | 车系：{'I': 923, 'N': 'Rapide'} 口碑数据获取完成!
2020-06-04 09:55:32,668 | koubei_autohome.py | INFO  | 车系：{'I': 923, 'N': 'Rapide'} 获取记录保存成功!
2020-06-04 09:55:32,669 | koubei_autohome.py | INFO  | 车系：{'I': 822, 'N': 'V12 Vantage'} 口碑数据获取中...
2020-06-04 09:55:32,778 | koubei_autohome.py | INFO  | 车系：{'I': 822, 'N': 'V12 Vantage'} 口碑数据获取完成!
2020-06-04 09:55:32,780 | koubei_autohome.py | INFO  | 车系：{'I': 822, 'N': 'V12 Vantage'} 获取记录保存成功!
2020-06-04 09:55:32,781 | koubei_autohome.py | INFO  | 车系：{'I': 385, 'N': 'V8 Vantage'} 口碑数据获取中...
2020-06-04 09:55:32,885 | koubei_autohome.py | INFO  | 车系：{'I': 385, 'N': 'V8 Vantage'} 口碑数据获取完成!
2020-06-04 09:55:32,886 | koubei_autohome.py | INFO  | 车系：{'I': 385, 'N': 'V8 Vantage'} 获取记录保存成功!
2020-06-04 09:55:32,887 | koubei_autohome.py | INFO  | 车系：{'I': 386, 'N': 'Vanquish'} 口碑数据获取中...
2020-06-04 09:55:32,992 | koubei_autohome.py | INFO  | 车系：{'I': 386, 'N': 'Vanquish'} 口碑数据获取完成!
2020-06-04 09:55:32,994 | koubei_autohome.py | INFO  | 车系：{'I': 386, 'N': 'Vanquish'} 获取记录保存成功!
2020-06-04 09:55:32,995 | koubei_autohome.py | INFO  | 车系：{'I': 2275, 'N': 'Virage'} 口碑数据获取中...
2020-06-04 09:55:33,108 | koubei_autohome.py | INFO  | 车系：{'I': 2275, 'N': 'Virage'} 口碑数据获取完成!
2020-06-04 09:55:33,109 | koubei_autohome.py | INFO  | 车系：{'I': 2275, 'N': 'Virage'} 获取记录保存成功!
2020-06-04 09:55:33,110 | koubei_autohome.py | INFO  | 车系：{'I': 3891, 'N': '阿斯顿·马丁DB11'} 口碑数据获取中...
2020-06-04 09:55:33,220 | koubei_autohome.py | INFO  | 车系：{'I': 3891, 'N': '阿斯顿·马丁DB11'} 口碑数据获取完成!
2020-06-04 09:55:33,223 | koubei_autohome.py | INFO  | 车系：{'I': 3891, 'N': '阿斯顿·马丁DB11'} 获取记录保存成功!
2020-06-04 09:55:33,224 | koubei_autohome.py | INFO  | 车系：{'I': 266, 'N': '阿斯顿·马丁DB9'} 口碑数据获取中...
2020-06-04 09:55:33,336 | koubei_autohome.py | INFO  | 车系：{'I': 266, 'N': '阿斯顿·马丁DB9'} 口碑数据获取完成!
2020-06-04 09:55:33,337 | koubei_autohome.py | INFO  | 车系：{'I': 266, 'N': '阿斯顿·马丁DB9'} 获取记录保存成功!
2020-06-04 09:55:33,339 | koubei_autohome.py | INFO  | 车系：{'I': 582, 'N': '阿斯顿·马丁DBS'} 口碑数据获取中...
2020-06-04 09:55:33,446 | koubei_autohome.py | INFO  | 车系：{'I': 582, 'N': '阿斯顿·马丁DBS'} 口碑数据获取完成!
2020-06-04 09:55:33,448 | koubei_autohome.py | INFO  | 车系：{'I': 582, 'N': '阿斯顿·马丁DBS'} 获取记录保存成功!
2020-06-04 09:55:33,449 | koubei_autohome.py | INFO  | 车系：{'I': 3742, 'N': '阿斯顿·马丁DBX'} 口碑数据获取中...
2020-06-04 09:55:33,834 | koubei_autohome.py | INFO  | 车系：{'I': 3742, 'N': '阿斯顿·马丁DBX'} 口碑数据获取完成!
2020-06-04 09:55:33,835 | koubei_autohome.py | INFO  | 车系：{'I': 3742, 'N': '阿斯顿·马丁DBX'} 获取记录保存成功!
2020-06-04 09:55:33,836 | koubei_autohome.py | INFO  | 车系：{'I': 2846, 'N': 'V12 Zagato(停售)'} 口碑数据获取中...
2020-06-04 09:55:33,942 | koubei_autohome.py | INFO  | 车系：{'I': 2846, 'N': 'V12 Zagato(停售)'} 口碑数据获取完成!
2020-06-04 09:55:33,943 | koubei_autohome.py | INFO  | 车系：{'I': 2846, 'N': 'V12 Zagato(停售)'} 获取记录保存成功!
2020-06-04 09:55:33,945 | koubei_autohome.py | INFO  | 车系：{'I': 884, 'N': '拉共达Taraf(停售)'} 口碑数据获取中...
2020-06-04 09:55:34,854 | koubei_autohome.py | INFO  | 车系：{'I': 884, 'N': '拉共达Taraf(停售)'} 口碑数据获取完成!
2020-06-04 09:55:34,855 | koubei_autohome.py | INFO  | 车系：{'I': 884, 'N': '拉共达Taraf(停售)'} 获取记录保存成功!
2020-06-04 09:55:34,856 | koubei_autohome.py | INFO  | 车系：{'I': 4769, 'N': '爱驰U5'} 口碑数据获取中...
2020-06-04 09:55:35,272 | koubei_autohome.py | INFO  | 车系：{'I': 4769, 'N': '爱驰U5'} 口碑数据获取完成!
2020-06-04 09:55:35,274 | koubei_autohome.py | INFO  | 车系：{'I': 4769, 'N': '爱驰U5'} 获取记录保存成功!
2020-06-04 09:55:35,275 | koubei_autohome.py | INFO  | 车系：{'I': 2745, 'N': '宝斯通(停售)'} 口碑数据获取中...
2020-06-04 09:55:35,412 | koubei_autohome.py | INFO  | 车系：{'I': 2745, 'N': '宝斯通(停售)'} 口碑数据获取完成!
2020-06-04 09:55:35,414 | koubei_autohome.py | INFO  | 车系：{'I': 2745, 'N': '宝斯通(停售)'} 获取记录保存成功!
2020-06-04 09:55:35,415 | koubei_autohome.py | INFO  | 车系：{'I': 3170, 'N': '奥迪A3'} 口碑数据获取中...
2020-06-04 09:55:35,536 | koubei_autohome.py | INFO  | 车系：{'I': 3170, 'N': '奥迪A3'} 口碑数据获取完成!
2020-06-04 09:55:35,538 | koubei_autohome.py | INFO  | 车系：{'I': 3170, 'N': '奥迪A3'} 获取记录保存成功!
2020-06-04 09:55:35,539 | koubei_autohome.py | INFO  | 车系：{'I': 692, 'N': '奥迪A4L'} 口碑数据获取中...
