2020-06-04 10:28:03,294 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:28:03.292030
2020-06-04 10:28:03,344 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:28:26,933 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:28:26,998 | model_koubei.py | INFO  | 车系：4502 口碑数据获取完成!
2020-06-04 10:28:26,999 | model_koubei.py | INFO  | 程序结束时间：2020-06-04 10:28:26.999287
2020-06-04 10:28:26,999 | model_koubei.py | INFO  | 程序执行用时：0:00:23.707257s
2020-06-04 10:32:49,338 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:32:49.338697
2020-06-04 10:32:49,389 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:32:51,068 | model_koubei.py | INFO  | 车系：4502 口碑：1913830 数据获取中...
2020-06-04 10:32:52,125 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:52,126 | model_koubei.py | INFO  | 车系：4502 口碑：1913830 数据保存成功!
2020-06-04 10:32:52,384 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:32:53,128 | model_koubei.py | INFO  | 车系：4502 口碑：1975992 数据获取中...
2020-06-04 10:32:53,482 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:53,483 | model_koubei.py | INFO  | 车系：4502 口碑：1975992 数据保存成功!
2020-06-04 10:32:54,490 | model_koubei.py | INFO  | 车系：4502 口碑：1936376 数据获取中...
2020-06-04 10:32:55,029 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:55,030 | model_koubei.py | INFO  | 车系：4502 口碑：1936376 数据保存成功!
2020-06-04 10:32:56,039 | model_koubei.py | INFO  | 车系：4502 口碑：1827000 数据获取中...
2020-06-04 10:32:56,271 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:56,272 | model_koubei.py | INFO  | 车系：4502 口碑：1827000 数据保存成功!
2020-06-04 10:32:57,282 | model_koubei.py | INFO  | 车系：4502 口碑：2248874 数据获取中...
2020-06-04 10:32:57,531 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:57,532 | model_koubei.py | INFO  | 车系：4502 口碑：2248874 数据保存成功!
2020-06-04 10:32:58,537 | model_koubei.py | INFO  | 车系：4502 口碑：2228542 数据获取中...
2020-06-04 10:32:58,887 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:32:58,888 | model_koubei.py | INFO  | 车系：4502 口碑：2228542 数据保存成功!
2020-06-04 10:32:59,893 | model_koubei.py | INFO  | 车系：4502 口碑：2204366 数据获取中...
2020-06-04 10:33:00,332 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:33:00,333 | model_koubei.py | INFO  | 车系：4502 口碑：2204366 数据保存成功!
2020-06-04 10:33:01,336 | model_koubei.py | INFO  | 车系：4502 口碑：2128546 数据获取中...
2020-06-04 10:33:01,676 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:33:01,676 | model_koubei.py | INFO  | 车系：4502 口碑：2128546 数据保存成功!
2020-06-04 10:33:02,678 | model_koubei.py | INFO  | 车系：4502 口碑：2114301 数据获取中...
2020-06-04 10:33:02,911 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:33:02,912 | model_koubei.py | INFO  | 车系：4502 口碑：2114301 数据保存成功!
2020-06-04 10:33:03,915 | model_koubei.py | INFO  | 车系：4502 口碑：2043702 数据获取中...
2020-06-04 10:33:04,219 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:33:04,219 | model_koubei.py | INFO  | 车系：4502 口碑：2043702 数据保存成功!
2020-06-04 10:33:05,223 | model_koubei.py | INFO  | 车系：4502 口碑：1942738 数据获取中...
2020-06-04 10:33:05,530 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:33:05,530 | model_koubei.py | INFO  | 车系：4502 口碑：1942738 数据保存成功!
2020-06-04 10:36:51,005 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:36:51.004719
2020-06-04 10:36:51,110 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:36:52,126 | model_koubei.py | INFO  | 1913830 已获取跳过!
2020-06-04 10:36:52,128 | model_koubei.py | INFO  | 1975992 已获取跳过!
2020-06-04 10:36:52,130 | model_koubei.py | INFO  | 1936376 已获取跳过!
2020-06-04 10:36:52,131 | model_koubei.py | INFO  | 1827000 已获取跳过!
2020-06-04 10:36:52,133 | model_koubei.py | INFO  | 2248874 已获取跳过!
2020-06-04 10:36:52,135 | model_koubei.py | INFO  | 2228542 已获取跳过!
2020-06-04 10:36:52,136 | model_koubei.py | INFO  | 2204366 已获取跳过!
2020-06-04 10:36:52,138 | model_koubei.py | INFO  | 2128546 已获取跳过!
2020-06-04 10:36:52,140 | model_koubei.py | INFO  | 2114301 已获取跳过!
2020-06-04 10:36:52,142 | model_koubei.py | INFO  | 2043702 已获取跳过!
2020-06-04 10:36:52,143 | model_koubei.py | INFO  | 1942738 已获取跳过!
2020-06-04 10:36:52,146 | model_koubei.py | INFO  | 车系：4502 口碑：1928060 数据获取中...
2020-06-04 10:36:52,698 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:36:53,071 | model_koubei.py | INFO  | 车系：4502 口碑：1916638 数据获取中...
2020-06-04 10:36:53,509 | model_koubei.py | INFO  | 车系：4502 口碑：1906219 数据获取中...
2020-06-04 10:36:53,960 | model_koubei.py | INFO  | 车系：4502 口碑：1900526 数据获取中...
2020-06-04 10:36:54,447 | model_koubei.py | INFO  | 车系：4502 口碑：1886384 数据获取中...
2020-06-04 10:36:55,049 | model_koubei.py | INFO  | 车系：4502 口碑：1881044 数据获取中...
2020-06-04 10:36:55,399 | model_koubei.py | INFO  | 车系：4502 口碑：2619715 数据获取中...
2020-06-04 10:36:55,709 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据获取中...
2020-06-04 10:36:56,045 | model_koubei.py | INFO  | 车系：4502 口碑：2173874 数据获取中...
2020-06-04 10:36:56,558 | model_koubei.py | INFO  | 车系：4502 口碑：2254636 数据获取中...
2020-06-04 10:36:57,040 | model_koubei.py | INFO  | 车系：4502 口碑：2254455 数据获取中...
2020-06-04 10:36:57,388 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据获取中...
2020-06-04 10:36:57,879 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据获取中...
2020-06-04 10:36:58,279 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据获取中...
2020-06-04 10:36:58,575 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据获取中...
2020-06-04 10:36:58,928 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据获取中...
2020-06-04 10:36:59,277 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据获取中...
2020-06-04 10:36:59,502 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据获取中...
